item_code	qty	date
ENF-703	64	2023-02-08
XCB-103	64	2023-02-09
TRB-407	37	2023-02-07
WLS-127	40	2023-02-08
TRF-405	42	2023-02-06
WLS-723	50	2023-02-16
XCB-107	61	2023-02-17
TRF-405	62	2023-02-13
WLS-127	51	2023-02-17
WLS-429	55	2023-02-14
WLS-723	40	2023-02-16
XCF-107	77	2023-02-08
RIM-429	60	2023-02-11
XCB-107	46	2023-02-11
XCF-103	54	2023-02-09
ASL-110	44	2023-02-15
XCF-103	40	2023-02-16
ENB-707	50	2023-02-11
WLS-127	58	2023-02-14
TRB-407	36	2023-02-14
ASL-140	62	2023-02-15
XCF-105	56	2023-02-18
RIM-429	36	2023-02-15
XCF-103	42	2023-02-16
TRF-407	53	2023-02-21
GRK-000	58	2023-02-13
XCF-107	64	2023-02-21
XCF-107	46	2023-02-15
WLS-723	57	2023-02-23
TRB-407	50	2023-02-17
ASL-110	43	2023-02-15
XCF-105	50	2023-02-21
TRB-405	25	2023-02-14
ENF-703	53	2023-02-22
ASL-170	40	2023-02-19
WLS-723	44	2023-02-21
ENB-703	59	2023-02-21
XCF-103	38	2023-02-22
WLS-427	60	2023-02-26
XCF-105	37	2023-02-23
WLS-723	43	2023-02-20
TRF-405	45	2023-02-24
TRB-407	40	2023-02-27
WLS-429	51	2023-02-20
WLS-429	62	2023-02-25
TRB-403	53	2023-02-18
RIM-127	48	2023-02-23
WLS-427	62	2023-02-28
WLS-127	66	2023-02-20
TRB-407	45	2023-02-23
TRB-405	61	2023-02-28
WLS-429	65	2023-02-26
ASL-110	52	2023-02-25
XCB-103	56	2023-02-28
WLS-127	47	2023-02-28
XCB-103	37	2023-02-21
XCF-103	46	2023-02-25
TRF-407	59	2023-02-28
WLS-127	64	2023-02-28
TRF-403	34	2023-02-28
XCB-107	47	2023-03-01
WLS-429	36	2023-02-27
TRF-407	40	2023-02-21
ASL-140	42	2023-03-04
ENB-707	45	2023-03-04
TRF-403	58	2023-02-26
TRF-403	48	2023-02-25
XCB-107	69	2023-03-02
RIM-700	59	2023-02-25
ASL-110	23	2023-02-26
XCB-103	40	2023-03-03
XCF-103	49	2023-03-04
TRF-407	48	2023-03-05
ENB-703	55	2023-03-07
XCF-107	47	2023-03-01
XCF-105	65	2023-03-06
XCF-103	56	2023-03-04
TRF-405	45	2023-02-28
ENB-705	53	2023-02-26
ASL-170	52	2023-03-06
XCB-107	44	2023-03-08
XCB-105	49	2023-02-28
TRB-407	68	2023-03-03
RIM-427	59	2023-03-03
XCB-103	46	2023-03-01
RIM-429	41	2023-03-09
ASL-110	47	2023-03-06
WLS-127	59	2023-02-28
TRF-405	59	2023-03-02
HBM-750	60	2023-03-08
XCB-103	49	2023-03-08
XCB-105	50	2023-03-02
TRB-405	62	2023-03-08
WLS-429	52	2023-03-03
TRF-403	44	2023-03-02
ENF-705	57	2023-03-09
HBM-750	32	2023-03-13
XCF-107	38	2023-03-11
XCF-107	41	2023-03-07
ENB-703	56	2023-03-06
ASL-170	53	2023-03-06
WLS-723	32	2023-03-06
TRF-405	53	2023-03-08
XCB-103	56	2023-03-08
TRB-405	55	2023-03-09
TRF-403	53	2023-03-12
WLS-429	39	2023-03-16
TRF-405	53	2023-03-12
ASL-170	47	2023-03-11
WLS-127	51	2023-03-10
XCB-105	42	2023-03-10
XCB-107	50	2023-03-09
TRB-403	74	2023-03-08
WLS-429	50	2023-03-09
TRB-405	44	2023-03-17
ASL-170	45	2023-03-10
WLS-427	78	2023-03-10
TRB-403	63	2023-03-12
WLS-427	54	2023-03-17
RIM-700	48	2023-03-19
XCF-107	44	2023-03-11
ENB-705	36	2023-03-16
XCF-103	59	2023-03-15
XCB-103	51	2023-03-15
WLS-429	48	2023-03-14
TRF-403	52	2023-03-17
ASL-170	52	2023-03-12
XCB-105	46	2023-03-13
WLS-127	56	2023-03-19
XCB-103	47	2023-03-16
XCB-107	68	2023-03-15
XCB-107	41	2023-03-23
ASL-110	54	2023-03-21
XCB-105	50	2023-03-15
XCB-103	38	2023-03-18
XCF-103	57	2023-03-18
RIM-700	67	2023-03-15
WLS-723	49	2023-03-23
XCB-105	51	2023-03-16
XCF-105	34	2023-03-18
XCB-103	41	2023-03-19
RIM-127	59	2023-03-24
ASL-110	41	2023-03-26
TRB-405	46	2023-03-26
WLS-723	65	2023-03-26
ASL-170	40	2023-03-25
TRF-403	33	2023-03-20
WLS-427	54	2023-03-27
ASL-140	73	2023-03-24
TRF-403	36	2023-03-28
WLS-427	52	2023-03-28
ENB-705	44	2023-03-28
ASL-140	35	2023-03-24
TRF-405	45	2023-03-21
XCB-107	60	2023-03-25
XCF-105	46	2023-03-24
XCF-103	62	2023-03-24
ENF-703	52	2023-03-31
WLS-127	50	2023-03-29
XCF-103	56	2023-03-27
XCF-103	55	2023-03-26
WLS-723	61	2023-03-29
WLS-427	39	2023-03-30
ENB-707	45	2023-03-28
XCB-107	46	2023-03-26
ENB-707	57	2023-03-24
XCF-107	50	2023-04-01
TRB-407	54	2023-03-29
ENF-707	43	2023-03-27
WLS-427	43	2023-04-02
WLS-127	48	2023-04-01
TRF-405	67	2023-03-28
XCF-105	51	2023-03-31
ENB-707	36	2023-04-02
TRF-403	56	2023-04-01
XCB-103	51	2023-04-03
TRF-405	47	2023-03-28
TRF-403	49	2023-04-06
ASL-110	63	2023-03-31
XCB-107	54	2023-03-28
XCF-107	43	2023-04-07
ASL-170	66	2023-03-31
ENB-705	53	2023-04-01
WLS-723	51	2023-03-30
XCF-107	55	2023-04-06
WLS-427	62	2023-04-07
XCF-107	56	2023-04-10
TRB-403	55	2023-04-09
XCB-107	57	2023-04-03
TRB-405	64	2023-04-08
TRF-407	51	2023-04-08
XCB-107	42	2023-04-02
TRB-407	44	2023-04-10
XCF-103	41	2023-04-13
XCF-103	45	2023-04-04
TRB-407	49	2023-04-05
WLS-427	48	2023-04-04
ENF-707	53	2023-04-04
XCB-105	58	2023-04-12
WLS-427	47	2023-04-06
XCB-105	45	2023-04-14
TRF-405	38	2023-04-15
XCB-105	41	2023-04-10
XCF-107	53	2023-04-10
XCF-103	52	2023-04-11
XCB-107	67	2023-04-13
RIM-429	42	2023-04-16
TRF-405	44	2023-04-10
XCB-103	48	2023-04-12
ASL-110	37	2023-04-19
WLS-429	64	2023-04-17
XCB-105	37	2023-04-17
XCF-107	30	2023-04-13
XCB-105	54	2023-04-12
XCB-103	46	2023-04-12
XCB-103	53	2023-04-16
XCB-103	45	2023-04-19
XCB-103	53	2023-04-17
WLS-427	48	2023-04-20
XCB-107	48	2023-04-11
TRB-405	33	2023-04-11
XCF-105	35	2023-04-18
ENB-703	70	2023-04-22
TRB-403	63	2023-04-20
WLS-429	43	2023-04-17
XCB-103	53	2023-04-21
WLS-427	64	2023-04-14
XCB-103	50	2023-04-18
XCF-105	28	2023-04-13
XCB-105	64	2023-04-17
XCF-105	59	2023-04-23
WLS-723	46	2023-04-23
ASL-170	71	2023-04-23
XCB-105	51	2023-04-24
ENB-703	49	2023-04-19
XCB-105	31	2023-04-16
WLS-427	52	2023-04-25
XCB-107	49	2023-04-18
RIM-427	39	2023-04-26
ASL-110	65	2023-04-24
WLS-723	64	2023-04-19
WLS-127	34	2023-04-29
WLS-429	52	2023-04-27
TRB-407	64	2023-04-20
WLS-427	24	2023-04-19
TRB-407	47	2023-04-27
TRF-405	50	2023-04-30
ENB-705	31	2023-04-28
WLS-427	46	2023-04-26
ENB-705	69	2023-04-25
XCB-107	49	2023-04-26
ASL-110	59	2023-04-27
XCB-107	59	2023-04-27
WLS-427	66	2023-04-27
TRF-407	42	2023-04-25
WLS-429	39	2023-04-23
WLS-429	60	2023-04-28
XCF-107	43	2023-04-27
XCB-103	60	2023-04-29
XCF-107	48	2023-04-29
XCB-103	51	2023-04-25
WLS-723	47	2023-04-28
TRB-407	69	2023-04-27
ENB-705	45	2023-04-25
RIM-700	41	2023-04-26
XCF-105	38	2023-04-26
ASL-140	49	2023-04-26
XCF-103	54	2023-04-27
TRF-403	65	2023-04-27
WLS-429	41	2023-04-30
TRF-403	66	2023-04-30
TRF-405	46	2023-04-29
ALB-754	10	2023-01-02
ALB-754	10	2023-01-03
ALB-754	10	2023-01-04
ALB-754	10	2023-01-05
ALB-754	500	2023-01-06
ALB-754	10	2023-01-07
ALB-754	10	2023-01-08
ALB-754	40	2023-01-09
ALB-754	10	2023-01-09
ALB-754	10	2023-01-09
ALB-754	10	2023-01-09
ALB-754	10	2023-01-09
ALB-754	10	2023-01-09
ALB-754	30	2023-01-15
ALB-754	10	2023-01-16
ALB-754	30	2023-01-17
ALB-754	10	2023-01-17
ALB-754	10	2023-01-17
ALB-754	10	2023-01-20
HBM-740	10	2023-01-02
HBM-740	10	2023-01-03
HBM-740	10	2023-01-04
HBM-740	10	2023-01-05
HBM-740	10	2023-01-06
HBM-740	10	2023-01-07
HBM-740	10	2023-01-08
HBM-740	10	2023-01-09
HBM-740	10	2023-01-09
HBM-740	10	2023-01-09
HBM-740	10	2023-01-09
HBM-740	10	2023-01-09
HBM-740	10	2023-01-09
HBM-740	10	2023-01-15
HBM-740	10	2023-01-16
HBM-740	10	2023-01-17
HBM-740	10	2023-01-17
HBM-740	10	2023-01-17
HBM-740	10	2023-01-20
CFC-245	10	2023-01-02
CFC-245	10	2023-01-03
CFC-245	10	2023-01-04
CFC-245	10	2023-01-05
CFC-245	10	2023-01-06
CFC-245	10	2023-01-07
CFC-245	10	2023-01-08
CFC-245	10	2023-01-09
CFC-245	10	2023-01-09
CFC-245	10	2023-01-09
CFC-245	10	2023-01-09
CFC-245	10	2023-01-09
CFC-245	10	2023-01-09
CFC-245	10	2023-01-15
CFC-245	10	2023-01-16
CFC-245	10	2023-01-17
CFC-245	10	2023-01-17
CFC-245	10	2023-01-17
CFC-245	10	2023-01-20
HBM-800	999	2023-04-20
ASL-110	1000	2023-04-24
TAIDUC-001	488	2023-01-01
TAIDUC-001	400	2023-01-01
TAIDUC-001	30000	2023-01-03
TAIDUC-001	100	2023-01-04
TAIDUC-001	19999	2023-01-05
TAIDUC-001	388	2023-01-06
TAIDUC-001	5000	2023-01-10
TAIDUC-001	10000	2023-01-11
TAIDUC-001	5000	2023-01-12
TAIDUC-001	1555	2023-01-13
TAIDUC-001	19999	2023-01-14
TAIDUC-001	1300	2023-01-15
TAIDUC-001	1000	2023-01-16
TAIDUC-001	500	2023-01-17
TAIDUC-001	30000	2023-01-18
TAIDUC-001	1000	2023-01-19
ALB-754	100	2023-02-01
ALB-754	70	2023-02-13
ALB-754	50	2023-02-26
ALB-754	199	2023-03-04
ALB-754	50	2023-03-05
ALB-754	10	2023-03-06
ALB-754	10	2023-03-07
ALB-754	50	2023-03-08
ALB-754	10	2023-03-09
ALB-754	77	2023-03-10
ALB-754	44	2023-03-11
ALB-754	333	2023-03-13
ALB-754	111	2023-03-15
TAIDUC-002	1	2022-12-19
TAIDUC-002	59	2022-12-20
TAIDUC-002	161	2022-12-21
TAIDUC-002	324	2022-12-22
TAIDUC-002	153	2022-12-23
TAIDUC-002	636	2022-12-24
TAIDUC-002	50	2022-12-25
TAIDUC-002	208	2022-12-26
TAIDUC-002	291	2022-12-27
TAIDUC-002	390	2022-12-28
TAIDUC-002	206	2022-12-29
TAIDUC-002	248	2022-12-30
TAIDUC-002	169	2022-12-31
TAIDUC-002	129	2023-01-01
TAIDUC-002	98	2023-01-02
TAIDUC-002	113	2023-01-03
TAIDUC-002	87	2023-01-04
TAIDUC-002	63	2023-01-05
TAIDUC-002	145	2023-01-06
TAIDUC-002	201	2023-01-07
TAIDUC-002	16	2023-01-08
TAIDUC-002	110	2023-01-09
TAIDUC-002	126	2023-01-10
TAIDUC-002	217	2023-01-11
TAIDUC-002	165	2023-01-12
TAIDUC-002	70	2023-01-13
TAIDUC-002	232	2023-01-14
TAIDUC-002	125	2023-01-15
TAIDUC-002	207	2023-01-16
TAIDUC-002	238	2023-01-17
TAIDUC-002	246	2023-01-18
TAIDUC-002	68	2023-01-19
TAIDUC-002	162	2023-01-20
TAIDUC-002	113	2023-01-21
TAIDUC-002	124	2023-01-22
TAIDUC-002	64	2023-01-23
TAIDUC-002	70	2023-01-24
TAIDUC-002	165	2023-01-25
TAIDUC-002	49	2023-01-26
TAIDUC-002	179	2023-01-27
TAIDUC-002	144	2023-01-28
TAIDUC-002	175	2023-01-29
TAIDUC-002	157	2023-01-30
TAIDUC-002	46	2023-01-31
TAIDUC-002	74	2023-02-01
TAIDUC-002	188	2023-02-02
TAIDUC-002	51	2023-02-03
TAIDUC-002	211	2023-02-04
TAIDUC-002	89	2023-02-05
TAIDUC-002	144	2023-02-06
TAIDUC-002	27	2023-02-07
TAIDUC-002	119	2023-02-08
TAIDUC-002	5	2023-02-09
TAIDUC-002	178	2023-02-10
TAIDUC-002	191	2023-02-11
TAIDUC-002	28	2023-02-12
TAIDUC-002	85	2023-02-13
TAIDUC-002	38	2023-02-14
TAIDUC-002	296	2023-02-15
TAIDUC-002	271	2023-02-16
TAIDUC-002	166	2023-02-17
TAIDUC-002	361	2023-02-18
TAIDUC-002	74	2023-02-19
TAIDUC-002	94	2023-02-20
TAIDUC-002	42	2023-02-21
TAIDUC-002	98	2023-02-22
TAIDUC-002	359	2023-02-23
TAIDUC-002	206	2023-02-24
TAIDUC-002	136	2023-02-25
TAIDUC-002	99	2023-02-26
TAIDUC-002	94	2023-02-27
TAIDUC-002	110	2023-02-28
TAIDUC-002	69	2023-03-01
TAIDUC-002	308	2023-03-02
TAIDUC-002	175	2023-03-03
TAIDUC-002	91	2023-03-04
TAIDUC-002	130	2023-03-05
TAIDUC-002	99	2023-03-06
TAIDUC-002	51	2023-03-07
TAIDUC-002	94	2023-03-08
TAIDUC-002	29	2023-03-09
TAIDUC-002	88	2023-03-10
TAIDUC-002	66	2023-03-11
TAIDUC-002	74	2023-03-12
TAIDUC-002	155	2023-03-13
TAIDUC-002	86	2023-03-14
TAIDUC-002	120	2023-03-15
TAIDUC-002	149	2023-03-16
TAIDUC-002	66	2023-03-17
TAIDUC-002	140	2023-03-18
TAIDUC-002	137	2023-03-19
TAIDUC-002	96	2023-03-20
TAIDUC-002	200	2023-03-21
TAIDUC-002	113	2023-03-22
TAIDUC-002	123	2023-03-23
TAIDUC-002	10	2023-03-24
TAIDUC-002	88	2023-03-25
TAIDUC-002	77	2023-03-26
TAIDUC-002	144	2023-03-27
TAIDUC-002	174	2023-03-28
TAIDUC-002	207	2023-03-29
TAIDUC-002	207	2023-03-30
TAIDUC-002	205	2023-03-31
TAIDUC-002	107	2023-04-01
TAIDUC-002	21	2023-04-02
TAIDUC-002	219	2023-04-03
TAIDUC-002	181	2023-04-04
TAIDUC-002	161	2023-04-05
TAIDUC-002	83	2023-04-06
TAIDUC-002	206	2023-04-07
TAIDUC-002	99	2023-04-08
TAIDUC-002	60	2023-04-09
TAIDUC-002	47	2023-04-10
TAIDUC-002	68	2023-04-11
TAIDUC-002	113	2023-04-12
TAIDUC-002	199	2023-04-13
TAIDUC-002	238	2023-04-14
TAIDUC-002	73	2023-04-15
TAIDUC-002	203	2023-04-16
TAIDUC-002	274	2023-04-17
TAIDUC-002	53	2023-04-18
TAIDUC-002	155	2023-04-19
TAIDUC-002	113	2023-04-20
TAIDUC-002	11	2023-04-21
TAIDUC-002	5	2023-04-22
