,item_code,planned_qty,receipt_date,release_date,lead_time,order_type,urgency_status
194,XCF-103,53,2023-04-14,2023-04-07,7,Production Order,
195,XCF-103,50,2023-04-15,2023-04-08,7,Production Order,
196,XCF-103,50,2023-04-16,2023-04-09,7,Production Order,
197,XCF-103,50,2023-04-18,2023-04-11,7,Production Order,
198,XCF-103,50,2023-04-22,2023-04-15,7,Production Order,
199,XCF-103,59,2023-04-26,2023-04-19,7,Production Order,
200,XCF-103,54,2023-04-27,2023-04-20,7,Production Order,
201,SPR-185,60,2023-01-01,2022-12-11,21,Production Order,urgent
202,SPR-185,120,2023-01-02,2022-12-12,21,Production Order,urgent
203,SPR-185,50,2023-01-06,2022-12-16,21,Production Order,urgent
204,SPR-185,60,2023-01-07,2022-12-17,21,Production Order,urgent
205,SPR-185,50,2023-01-09,2022-12-19,21,Production Order,urgent
206,SPR-185,55,2023-01-11,2022-12-21,21,Production Order,urgent
207,SPR-185,50,2023-01-12,2022-12-22,21,Production Order,urgent
208,SPR-185,50,2023-01-13,2022-12-23,21,Production Order,urgent
209,SPR-185,30,2023-01-14,2022-12-24,21,Production Order,urgent
210,SPR-185,50,2023-01-21,2022-12-31,21,Production Order,urgent
211,SPR-185,50,2023-01-25,2023-01-04,21,Production Order,
212,SPR-185,50,2023-01-28,2023-01-07,21,Production Order,
213,SPR-185,50,2023-01-30,2023-01-09,21,Production Order,
214,SPR-185,50,2023-02-03,2023-01-13,21,Production Order,
215,SPR-185,50,2023-02-04,2023-01-14,21,Production Order,
216,SPR-185,50,2023-02-07,2023-01-17,21,Production Order,
217,SPR-185,50,2023-02-11,2023-01-21,21,Production Order,
218,SPR-185,50,2023-02-14,2023-01-24,21,Production Order,
219,SPR-185,50,2023-02-20,2023-01-30,21,Production Order,
220,SPR-185,50,2023-02-23,2023-02-02,21,Production Order,
221,SPR-185,50,2023-02-25,2023-02-04,21,Production Order,
222,SPR-185,60,2023-02-28,2023-02-07,21,Production Order,
223,SPR-185,60,2023-03-05,2023-02-12,21,Production Order,
224,SPR-185,55,2023-03-06,2023-02-13,21,Production Order,
225,SPR-185,50,2023-03-14,2023-02-21,21,Production Order,
226,SPR-185,50,2023-03-23,2023-03-02,21,Production Order,
227,SPR-185,50,2023-03-25,2023-03-04,21,Production Order,
228,SPR-185,55,2023-03-26,2023-03-05,21,Production Order,
229,SPR-185,50,2023-03-29,2023-03-08,21,Production Order,
230,SPR-185,50,2023-04-02,2023-03-12,21,Production Order,
231,SPR-185,55,2023-04-05,2023-03-15,21,Production Order,
232,SPR-185,50,2023-04-07,2023-03-17,21,Production Order,
233,SPR-185,50,2023-04-08,2023-03-18,21,Production Order,
234,SPR-185,55,2023-04-17,2023-03-27,21,Production Order,
235,SPR-185,105,2023-04-22,2023-04-01,21,Production Order,
236,SPR-185,115,2023-04-24,2023-04-03,21,Production Order,
237,SPR-185,50,2023-04-25,2023-04-04,21,Production Order,
238,BRK-404,60,2022-12-29,2022-11-29,30,Production Order,urgent
239,BRK-404,50,2022-12-30,2022-11-30,30,Production Order,urgent
240,BRK-404,125,2023-01-02,2022-12-03,30,Production Order,urgent
241,BRK-404,50,2023-01-03,2022-12-04,30,Production Order,urgent
242,BRK-404,50,2023-01-09,2022-12-10,30,Production Order,urgent
243,BRK-404,50,2023-01-12,2022-12-13,30,Production Order,urgent
244,BRK-404,45,2023-01-31,2023-01-01,30,Production Order,urgent
245,BRK-404,40,2023-02-09,2023-01-10,30,Production Order,
246,BRK-404,40,2023-02-16,2023-01-17,30,Production Order,
247,BRK-404,50,2023-02-23,2023-01-24,30,Production Order,
248,BRK-404,50,2023-03-01,2023-01-30,30,Production Order,
249,BRK-404,50,2023-03-03,2023-02-01,30,Production Order,
250,BRK-404,50,2023-03-04,2023-02-02,30,Production Order,
251,BRK-404,50,2023-03-21,2023-02-19,30,Production Order,
252,BRK-404,100,2023-03-25,2023-02-23,30,Production Order,
253,BRK-404,50,2023-03-29,2023-02-27,30,Production Order,
254,BRK-404,50,2023-04-16,2023-03-17,30,Production Order,
255,BRK-404,55,2023-04-19,2023-03-20,30,Production Order,
256,BRK-404,100,2023-04-22,2023-03-23,30,Production Order,
257,BRK-404,50,2023-04-25,2023-03-26,30,Production Order,
258,MEC-913,75,2022-12-31,2022-12-21,10,Production Order,urgent
259,MEC-913,195,2023-01-01,2022-12-22,10,Production Order,urgent
260,MEC-913,455,2023-01-03,2022-12-24,10,Production Order,urgent
261,MEC-913,100,2023-01-07,2022-12-28,10,Production Order,urgent
262,MEC-913,100,2023-01-08,2022-12-29,10,Production Order,urgent
263,MEC-913,50,2023-01-09,2022-12-30,10,Production Order,urgent
264,MEC-913,50,2023-01-10,2022-12-31,10,Production Order,urgent
265,MEC-913,60,2023-01-16,2023-01-06,10,Production Order,
266,MEC-913,100,2023-01-17,2023-01-07,10,Production Order,
267,MEC-913,50,2023-01-22,2023-01-12,10,Production Order,
268,MEC-913,55,2023-01-24,2023-01-14,10,Production Order,
269,MEC-913,50,2023-01-26,2023-01-16,10,Production Order,
270,MEC-913,60,2023-01-27,2023-01-17,10,Production Order,
271,MEC-913,60,2023-01-31,2023-01-21,10,Production Order,
272,MEC-913,50,2023-02-01,2023-01-22,10,Production Order,
273,MEC-913,55,2023-02-06,2023-01-27,10,Production Order,
274,MEC-913,50,2023-02-08,2023-01-29,10,Production Order,
275,MEC-913,60,2023-02-14,2023-02-04,10,Production Order,
276,MEC-913,50,2023-02-18,2023-02-08,10,Production Order,
277,MEC-913,100,2023-02-25,2023-02-15,10,Production Order,
278,MEC-913,100,2023-02-26,2023-02-16,10,Production Order,
279,MEC-913,115,2023-02-27,2023-02-17,10,Production Order,
280,MEC-913,50,2023-02-28,2023-02-18,10,Production Order,
281,MEC-913,135,2023-03-05,2023-02-23,10,Production Order,
282,MEC-913,50,2023-03-06,2023-02-24,10,Production Order,
283,MEC-913,50,2023-03-07,2023-02-25,10,Production Order,
284,MEC-913,50,2023-03-10,2023-02-28,10,Production Order,
285,MEC-913,160,2023-03-12,2023-03-02,10,Production Order,
286,MEC-913,100,2023-03-13,2023-03-03,10,Production Order,
287,MEC-913,50,2023-03-15,2023-03-05,10,Production Order,
288,MEC-913,50,2023-03-16,2023-03-06,10,Production Order,
289,MEC-913,50,2023-03-20,2023-03-10,10,Production Order,
290,MEC-913,50,2023-03-22,2023-03-12,10,Production Order,
291,MEC-913,50,2023-03-23,2023-03-13,10,Production Order,
292,MEC-913,50,2023-03-25,2023-03-15,10,Production Order,
293,MEC-913,50,2023-03-30,2023-03-20,10,Production Order,
294,MEC-913,100,2023-03-31,2023-03-21,10,Production Order,
295,MEC-913,50,2023-04-07,2023-03-28,10,Production Order,
296,MEC-913,50,2023-04-08,2023-03-29,10,Production Order,
297,MEC-913,165,2023-04-09,2023-03-30,10,Production Order,
298,MEC-913,65,2023-04-10,2023-03-31,10,Production Order,
299,MEC-913,50,2023-04-11,2023-04-01,10,Production Order,
300,MEC-913,100,2023-04-13,2023-04-03,10,Production Order,
301,MEC-913,130,2023-04-14,2023-04-04,10,Production Order,
302,MEC-913,100,2023-04-15,2023-04-05,10,Production Order,
303,MEC-913,50,2023-04-16,2023-04-06,10,Production Order,
304,MEC-913,50,2023-04-18,2023-04-08,10,Production Order,
305,MEC-913,50,2023-04-21,2023-04-11,10,Production Order,
306,MEC-913,50,2023-04-22,2023-04-12,10,Production Order,
307,MEC-913,50,2023-04-23,2023-04-13,10,Production Order,
308,MEC-913,60,2023-04-24,2023-04-14,10,Production Order,
309,MEC-913,60,2023-04-26,2023-04-16,10,Production Order,
310,FRK-829,47,2022-12-29,2022-12-22,7,Production Order,urgent
311,FRK-829,48,2022-12-30,2022-12-23,7,Production Order,urgent
312,FRK-829,70,2023-01-02,2022-12-26,7,Production Order,urgent
313,FRK-829,50,2023-01-09,2023-01-02,7,Production Order,
314,FRK-829,48,2023-01-31,2023-01-24,7,Production Order,
315,FRK-829,36,2023-02-09,2023-02-02,7,Production Order,
316,FRK-829,50,2023-02-23,2023-02-16,7,Production Order,
317,FRK-829,50,2023-03-01,2023-02-22,7,Production Order,
318,FRK-829,50,2023-03-21,2023-03-14,7,Production Order,
319,FRK-829,100,2023-03-25,2023-03-18,7,Production Order,
320,FRK-829,50,2023-03-29,2023-03-22,7,Production Order,
321,FRK-829,103,2023-04-22,2023-04-15,7,Production Order,
322,FRK-829,50,2023-04-25,2023-04-18,7,Production Order,
323,WLS-427,41,2022-12-29,2022-12-26,3,Production Order,urgent
324,WLS-427,94,2022-12-30,2022-12-27,3,Production Order,urgent
325,WLS-427,62,2023-01-02,2022-12-30,3,Production Order,urgent
326,WLS-427,114,2023-01-03,2022-12-31,3,Production Order,urgent
327,WLS-427,46,2023-01-05,2023-01-02,3,Production Order,
328,WLS-427,48,2023-01-06,2023-01-03,3,Production Order,
329,WLS-427,50,2023-01-07,2023-01-04,3,Production Order,
330,WLS-427,60,2023-01-09,2023-01-06,3,Production Order,
331,WLS-427,24,2023-01-10,2023-01-07,3,Production Order,
332,WLS-427,50,2023-01-12,2023-01-09,3,Production Order,
333,WLS-427,62,2023-01-15,2023-01-12,3,Production Order,
334,WLS-427,4,2023-01-19,2023-01-16,3,Production Order,
335,WLS-427,79,2023-01-27,2023-01-24,3,Production Order,
336,WLS-427,53,2023-01-28,2023-01-25,3,Production Order,
337,WLS-427,78,2023-01-31,2023-01-28,3,Production Order,
338,WLS-427,58,2023-02-01,2023-01-29,3,Production Order,
339,WLS-427,33,2023-02-09,2023-02-06,3,Production Order,
340,WLS-427,53,2023-02-15,2023-02-12,3,Production Order,
341,WLS-427,44,2023-02-16,2023-02-13,3,Production Order,
342,WLS-427,60,2023-02-26,2023-02-23,3,Production Order,
343,WLS-427,62,2023-02-28,2023-02-25,3,Production Order,
344,WLS-427,50,2023-03-03,2023-02-28,3,Production Order,
345,WLS-427,50,2023-03-04,2023-03-01,3,Production Order,
346,WLS-427,74,2023-03-05,2023-03-02,3,Production Order,
347,WLS-427,63,2023-03-09,2023-03-06,3,Production Order,
348,WLS-427,78,2023-03-10,2023-03-07,3,Production Order,
349,WLS-427,54,2023-03-17,2023-03-14,3,Production Order,
350,WLS-427,54,2023-03-27,2023-03-24,3,Production Order,
351,WLS-427,52,2023-03-28,2023-03-25,3,Production Order,
352,WLS-427,39,2023-03-30,2023-03-27,3,Production Order,
353,WLS-427,43,2023-04-02,2023-03-30,3,Production Order,
354,WLS-427,48,2023-04-04,2023-04-01,3,Production Order,
355,WLS-427,102,2023-04-06,2023-04-03,3,Production Order,
356,WLS-427,62,2023-04-07,2023-04-04,3,Production Order,
357,WLS-427,64,2023-04-14,2023-04-11,3,Production Order,
358,WLS-427,50,2023-04-16,2023-04-13,3,Production Order,
359,WLS-427,63,2023-04-17,2023-04-14,3,Production Order,
360,WLS-427,76,2023-04-19,2023-04-16,3,Production Order,
361,WLS-427,48,2023-04-20,2023-04-17,3,Production Order,
362,WLS-427,52,2023-04-25,2023-04-22,3,Production Order,
363,WLS-427,46,2023-04-26,2023-04-23,3,Production Order,
364,WLS-427,66,2023-04-27,2023-04-24,3,Production Order,
365,SHX-709,95,2022-12-29,2022-12-15,14,Production Order,urgent
366,SHX-709,50,2022-12-30,2022-12-16,14,Production Order,urgent
367,SHX-709,125,2023-01-02,2022-12-19,14,Production Order,urgent
368,SHX-709,50,2023-01-03,2022-12-20,14,Production Order,urgent
369,SHX-709,50,2023-01-09,2022-12-26,14,Production Order,urgent
370,SHX-709,50,2023-01-12,2022-12-29,14,Production Order,urgent
371,SHX-709,30,2023-01-31,2023-01-17,14,Production Order,
372,SHX-709,35,2023-02-09,2023-01-26,14,Production Order,
373,SHX-709,45,2023-02-16,2023-02-02,14,Production Order,
374,SHX-709,50,2023-02-23,2023-02-09,14,Production Order,
375,SHX-709,50,2023-03-01,2023-02-15,14,Production Order,
376,SHX-709,50,2023-03-03,2023-02-17,14,Production Order,
377,SHX-709,50,2023-03-04,2023-02-18,14,Production Order,
378,SHX-709,50,2023-03-21,2023-03-07,14,Production Order,
379,SHX-709,100,2023-03-25,2023-03-11,14,Production Order,
380,SHX-709,50,2023-03-29,2023-03-15,14,Production Order,
381,SHX-709,50,2023-04-16,2023-04-02,14,Production Order,
382,SHX-709,50,2023-04-19,2023-04-05,14,Production Order,
383,SHX-709,105,2023-04-22,2023-04-08,14,Production Order,
384,SHX-709,50,2023-04-25,2023-04-11,14,Production Order,
385,GTP-100,240,2023-01-03,2022-12-04,30,Production Order,urgent
386,GTP-100,50,2023-01-07,2022-12-08,30,Production Order,urgent
387,GTP-100,50,2023-01-08,2022-12-09,30,Production Order,urgent
388,GTP-100,50,2023-01-17,2022-12-18,30,Production Order,urgent
389,TYR-829,34,2022-12-30,2022-11-30,30,Production Order,urgent
390,TYR-829,70,2023-01-02,2022-12-03,30,Production Order,urgent
391,TYR-829,50,2023-01-09,2022-12-10,30,Production Order,urgent
392,TYR-829,48,2023-01-31,2023-01-01,30,Production Order,urgent
393,TYR-829,36,2023-02-09,2023-01-10,30,Production Order,
394,TYR-829,50,2023-02-23,2023-01-24,30,Production Order,
395,TYR-829,50,2023-03-01,2023-01-30,30,Production Order,
396,TYR-829,50,2023-03-21,2023-02-19,30,Production Order,
397,TYR-829,100,2023-03-25,2023-02-23,30,Production Order,
398,TYR-829,50,2023-03-29,2023-02-27,30,Production Order,
399,TYR-829,103,2023-04-22,2023-03-23,30,Production Order,
400,TYR-829,50,2023-04-25,2023-03-26,30,Production Order,
401,TYR-427,142,2022-12-30,2022-11-30,30,Production Order,urgent
402,TYR-427,20,2023-01-02,2022-12-03,30,Production Order,urgent
403,TYR-427,94,2023-01-07,2022-12-08,30,Production Order,urgent
404,TYR-427,106,2023-01-28,2022-12-29,30,Production Order,urgent
405,TYR-427,106,2023-02-15,2023-01-16,30,Production Order,
406,TYR-427,148,2023-03-05,2023-02-03,30,Production Order,
407,TYR-427,126,2023-03-09,2023-02-07,30,Production Order,
408,TYR-427,110,2023-04-06,2023-03-07,30,Production Order,
409,TYR-427,126,2023-04-17,2023-03-18,30,Production Order,
410,ACR-034,30,2022-12-30,2022-12-16,14,Production Order,urgent
411,ACR-034,85,2022-12-31,2022-12-17,14,Production Order,urgent
412,ACR-034,45,2023-01-07,2022-12-24,14,Production Order,urgent
413,ACR-034,55,2023-01-11,2022-12-28,14,Production Order,urgent
414,ACR-034,50,2023-01-12,2022-12-29,14,Production Order,urgent
415,ACR-034,25,2023-01-13,2022-12-30,14,Production Order,urgent
416,ACR-034,50,2023-01-14,2022-12-31,14,Production Order,urgent
417,ACR-034,50,2023-01-21,2023-01-07,14,Production Order,
418,ACR-034,50,2023-01-25,2023-01-11,14,Production Order,
419,ACR-034,105,2023-01-28,2023-01-14,14,Production Order,
420,ACR-034,50,2023-01-30,2023-01-16,14,Production Order,
421,ACR-034,10,2023-02-03,2023-01-20,14,Production Order,
422,ACR-034,45,2023-02-04,2023-01-21,14,Production Order,
423,ACR-034,40,2023-02-14,2023-01-31,14,Production Order,
